Stock,Max_Sharpe_%,Min_Vol_%,Equal_Weight_%
Infosys,1.0000000000000295,1.0,3.571428571428571
Wipro,9.513337466105991,5.124856101198014,3.571428571428571
HCL Tech,12.289164684261792,4.026624918681348,3.571428571428571
Tech Mahindra,1.0000000000000153,10.019736949056984,3.571428571428571
HDFC Bank,1.0000000000000115,10.853920655857568,3.571428571428571
ICICI Bank,1.0000000000000022,6.014429210719863,3.571428571428571
Axis Bank,1.0000000000000093,1.0000000000000009,3.571428571428571
Kotak Bank,1.0000000000000402,4.999529968925395,3.571428571428571
SBI,1.000000000000039,5.538591868937211,3.571428571428571
Reliance,1.0000000000000093,2.5237646961002937,3.571428571428571
ONGC,1.0000000000000147,1.0,3.571428571428571
Power Grid,10.077474000859898,6.6966580515966285,3.571428571428571
NTPC,1.000000000000006,1.0,3.571428571428571
Adani Green,1.0000000000001306,1.1436170810469792,3.571428571428571
HUL,1.000000000000007,1.0000000000000018,3.571428571428571
ITC,1.0000000000000397,1.4023910994793212,3.571428571428571
Nestle,1.0000000000000044,12.855856103648927,3.571428571428571
Britannia,12.144530777404599,1.0000000000000002,3.571428571428571
Sun Pharma,3.486964622241521,2.576370851991537,3.571428571428571
Dr Reddy,9.999382684526289,4.164079473874167,3.571428571428571
Cipla,1.0000000000000349,1.0,3.571428571428571
Maruti,1.0000000000000013,1.0,3.571428571428571
Bajaj Auto,21.489145764599876,3.6545697883135144,3.571428571428571
Tata Steel,1.0000000000000142,1.0,3.571428571428571
JSW Steel,1.0000000000000133,6.405003180572251,3.571428571428571
Bharti Airtel,1.0000000000000022,1.0000000000000002,3.571428571428571
L&T,1.000000000000002,1.0000000000000004,3.571428571428571
Ultratech,1.0000000000000095,1.0,3.571428571428571
